,OPERADORA,ESTADO,MES,ANO_BASE,AREA_TRABALHO,RESPONSAVEL,IDADE,SEXO,SATISFACAO_GERAL,USOU_SEIS_MESES_ANTES,USOU_ATEND_TELEFONICO,USOU_ATEND_INTERNET,USOU_ATEND_LOJA,USOU_ATEND_CANAIS,PROBLEMAS_CREDITO,PROBLEMAS_LIGACOES,PROBLEMAS_3G4G,OUTRA_OPERADORA,CIDADE_x,COD_IBGE,QTD_RESIDENTES,RENDA_MENSAL,PESO,SATISFACAO,REGIAO,CIDADE_y,POPULACAO,RENDA_PERCAPITA,PER_CLASSE_A,PER_CLASSE_B,PER_CLASSE_C,PER_CLASSE_D,PER_CLASSE_E
11182,OI,CE,abr,2018,2,1,48,1,0,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,2,2000,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11183,TIM,CE,mai,2018,2,1,32,2,0,1,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,1,40000,2.307515945,6,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11184,OI,CE,mai,2018,2,1,31,1,1,1,1,1,1,1,0,1,1,1,FORTALEZA,2304400.0,2,1000,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11185,OI,CE,mai,2018,2,1,52,1,1,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,1,2000,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11186,TIM,CE,jun,2018,2,1,25,2,1,1,0,0,0,0,1,0,0,0,FORTALEZA,2304400.0,3,1000,2.307515945,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11187,OI,CE,jun,2018,2,1,30,2,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,900,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11188,TIM,CE,set,2018,2,1,64,1,0,0,1,1,1,1,1,1,1,1,FORTALEZA,2304400.0,1,1400,2.307515945,3,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11189,OI,CE,set,2018,2,1,24,2,0,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,3,2000,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11190,CLARO,CE,set,2018,2,1,18,2,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,900,1.9328453719999998,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11191,OI,CE,set,2018,2,1,57,1,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,954,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11192,TIM,CE,out,2018,2,1,45,1,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,2,1500,2.307515945,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11193,OI,CE,out,2018,2,1,52,2,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,1,2000,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11194,CLARO,CE,out,2018,2,1,29,2,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,2200,1.9328453719999998,9,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11195,OI,CE,nov,2018,2,1,40,2,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,5,1500,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11196,OI,CE,nov,2018,2,1,62,2,0,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,4000,1.657327825,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11197,OI,CE,nov,2018,2,1,70,2,0,0,1,1,1,1,1,1,1,1,FORTALEZA,2304400.0,1,954,1.657327825,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11198,OI,CE,out,2018,2,1,43,1,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,5000,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11199,OI,CE,out,2018,2,1,50,1,0,0,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,2,954,1.657327825,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11200,OI,CE,out,2018,2,1,29,1,0,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,954,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11201,OI,CE,out,2018,2,1,76,1,0,0,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,2,954,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11202,OI,CE,out,2018,2,1,55,1,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,4,3000,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11203,OI,CE,out,2018,2,1,45,2,1,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,1,2500,1.657327825,9,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11204,OI,CE,out,2018,2,1,20,2,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,1300,1.657327825,9,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
